City	Latitude	Hemisphere
AberdeenScotland	57	N
AdelaideAustralia	34	S
AlgiersAlgeria	36	N
AmsterdamNetherlands	52	N
AnkaraTurkey	39	N
AsuncionParaguay	25	S
AthensGreece	37	N
AucklandNewZealand	36	S
BangkokThailand	13	N
BarcelonaSpain	41	N
BeijingChina	39	N
BelemBrazil	1	S
BelfastNorthernIreland	54	N
BelgradeSerbia	44	N
BerlinGermany	52	N
BirminghamEngland	52	N
BogotaColombia	1	N
BombayIndia	19	N
BordeauxFrance	44	N
BremenGermany	53	N
BrisbaneAustralia	27	S
BristolEngland	51	N
BrusselsBelgium	50	N
BucharestRomania	44	N
BudapestHungary	47	N
BuenosAiresArgentina	34	S
CairoEgypt	30	N
CalcuttaIndia	22	N
CantonChina	23	N
CapeTownSouthAfrica	33	S
CaracasVenezuela	10	N
CayenneFrenchGuiana	1	N
ChihuahuaMexico	28	N
ChongqingChina	29	N
CopenhagenDenmark	55	N
CordobaArgentina	31	S
DakarSenegal	14	N
DarwinAustralia	12	S
DjiboutiDjibouti	11	N
DublinIreland	53	N
DurbanSouthAfrica	29	S
EdinburghScotland	55	N
FrankfurtGermany	50	N
GeorgetownGuyana	1	N
GlasgowScotland	55	N
GuatemalaCityGuatemala	14	N
GuayaquilEcuador	1	S
HamburgGermany	53	N
HammerfestNorway	70	N
HavanaCuba	23	N
HelsinkiFinland	60	N
HobartTasmania	42	S
HongKongChina	22	N
IquiqueChile	20	S
IrkutskRussia	52	N
JakartaIndonesia	1	S
JohannesburgSouthAfrica	26	S
KingstonJamaica	17	N
KinshasaCongo	1	S
KualaLumpurMalaysia	1	N
LaPazBolivia	16	S
LeedsEngland	53	N
LimaPeru	12	S
LisbonPortugal	38	N
LiverpoolEngland	53	N
LondonEngland	51	N
LyonsFrance	45	N
MadridSpain	40	N
ManchesterEngland	53	N
ManilaPhilippines	14	N
MarseillesFrance	43	N
MazatlánMexico	23	N
MeccaSaudiArabia	21	N
MelbourneAustralia	37	S
MexicoCityMexico	19	N
MilanItaly	45	N
MontevideoUruguay	34	S
MoscowRussia	55	N
MunichGermany	48	N
NagasakiJapan	32	N
NagoyaJapan	35	N
NairobiKenya	1	S
NanjingChina	32	N
NaplesItaly	40	N
NewDelhiIndia	28	N
NewcastleonTyneEngland	54	N
OdessaUkraine	46	N
OsakaJapan	34	N
OsloNorway	59	N
PanamaCityPanama	1	N
ParamariboSuriname	1	N
ParisFrance	48	N
PerthAustralia	31	S
PlymouthEngland	50	N
PortMoresbyPapuaNewGuinea	1	S
PragueCzechRepublic	50	N
RangoonMyanmar	16	N
ReykjavikIceland	64	N
RiodeJaneiroBrazil	22	S
RomeItaly	41	N
SalvadorBrazil	12	S
SantiagoChile	33	S
StPetersburgRussia	59	N
SaoPauloBrazil	23	S
ShanghaiChina	31	N
SingaporeSingapore	1	N
SofiaBulgaria	42	N
StockholmSweden	59	N
SydneyAustralia	34	S
TananariveMadagascar	18	S
TeheranIran	35	N
TokyoJapan	35	N
TripoliLibya	32	N
VeniceItaly	45	N
VeracruzMexico	19	N
ViennaAustria	48	N
VladivostokRussia	43	N
WarsawPoland	52	N
WellingtonNewZealand	41	S
ZurichSwitzerland	47	N
