Nombre;Sexe;Annee;Prenoms;Nombre total cumule par annee
24;M;2011;Virgile;24
7;M;2011;Warren;7
9;F;2011;Yael;9
5;M;2011;Zakary;5
52;M;2012;Abel;52
22;M;2012;Aboubacar;22
7;M;2012;Alassane;7
24;M;2012;Alban;24
12;F;2012;Amy;12
6;F;2012;Angelina;6
6;M;2012;Auxence;6
7;M;2012;Bakary;7
6;F;2012;Binta;6
6;M;2012;Chahine;6
12;F;2012;Chaïma;12
18;F;2012;Coline;18
12;F;2012;Dahlia;12
5;M;2012;Danyl;5
35;M;2012;Djibril;35
27;M;2012;Dylan;27
52;F;2012;Eden;77
8;M;2012;Eduardo;8
11;F;2012;Eléna;11
71;F;2012;Elise;71
16;M;2012;Elyas;16
12;F;2012;Emilia;12
25;M;2012;Erwan;25
39;F;2012;Faustine;39
5;M;2012;Fodé;5
52;M;2012;Gabin;52
5;M;2012;Hatem;5
6;F;2012;Hayden;13
7;F;2012;Ilona;7
42;M;2012;Ilyes;42
26;M;2012;Imran;26
5;F;2012;Isadora;5
14;F;2012;Khadija;14
9;F;2012;Laure;9
10;F;2012;Lili;10
21;F;2012;Lilou;21
9;M;2012;Lohan;9
20;F;2012;Louisa;20
307;F;2012;Louise;307
17;F;2012;Louison;23
5;M;2012;Luke;5
9;M;2012;Mael;9
5;F;2012;Maëlyne;5
9;M;2012;Marley;9
20;M;2012;Matteo;20
162;M;2012;Mohamed;162
8;M;2012;Morgan;8
8;M;2012;Nolhan;8
33;M;2012;Octave;33
77;F;2012;Olivia;77
6;F;2012;Olympia;6
11;F;2012;Ombeline;11
7;M;2012;Riyad;7
9;M;2012;Ryad;9
27;M;2012;Ryan;27
15;M;2012;Salim;15
5;F;2012;Sanaa;5
6;M;2012;Stanley;6
5;M;2012;Stéphane;5
8;M;2012;Swann;8
6;F;2012;Tatiana;6
72;M;2012;Timothée;72
5;F;2012;Tracy;5
96;F;2012;Victoria;96
74;F;2012;Yasmine;74
43;M;2012;Yassine;43
14;M;2012;Yohan;14
7;M;2013;Alan;7
6;M;2013;Aly;6
15;F;2013;Anaé;15
8;F;2019;Dahlia;8
7;M;2019;Aksil;7
7;M;2019;Alon;7
7;M;2019;Mazen;7
7;M;2019;Tancrède;7
7;F;2019;Amicie;7
6;M;2019;Elon;6
6;M;2019;Maximilian;6
